"Country or Area","Year","Value"
"Denmark","2011","5232.4320303943"
"Denmark","2010","5233.2742201614"
"Denmark","2009","5337.35099681732"
"Denmark","2008","5555.847240545"
"Denmark","2007","5604.41955792569"
"Denmark","2006","5426.00205463873"
"Denmark","2005","5526.90450174505"
"Denmark","2004","6178.89347971439"
"Denmark","2003","6634.7296099741"
"Denmark","2002","6767.05302135648"
"Denmark","2001","6771.91599187127"
"Denmark","2000","6992.9452260287"
"Denmark","1999","7052.08363819296"
"Denmark","1998","6960.41915070982"
"Denmark","1997","6915.53110621035"
"Denmark","1996","6876.02899533124"
"Denmark","1995","7249.72214307803"
"Denmark","1994","7300.28271012703"
"Denmark","1993","7377.9668148601"
"Denmark","1992","7573.21594571529"
"Denmark","1991","7825.82451652728"
"Denmark","1990","7987.6029333162"
"Estonia","2017","915.731755975571"
"Estonia","2016","884.216240851807"
"Estonia","2015","921.106632625647"
"Estonia","2014","895.206548150881"
"Estonia","2013","865.142909501122"
"Estonia","2012","861.130654586156"
"Estonia","2011","808.497674072664"
"Estonia","2010","804.618055564671"
"Estonia","2009","789.987687109634"
"Estonia","2008","836.667510277277"
"Estonia","2007","780.761309611645"
"Estonia","2006","714.807383043353"
"Estonia","2005","727.481801346572"
"Estonia","2004","725.704403206003"
"Estonia","2003","687.79283048888"
"Estonia","2002","660.426960171689"
"Estonia","2001","685.323465245853"
"Estonia","2000","682.332088991067"
"Estonia","1999","664.099538850139"
"Estonia","1998","751.194675956571"
"Estonia","1997","734.443169835646"
"Estonia","1996","727.704978045439"
"Estonia","1995","766.639300232508"
"Estonia","1994","837.379540909475"
"Estonia","1993","926.428030200453"
"Estonia","1992","1186.06914056626"
"Estonia","1991","1431.14772651323"
"Estonia","1990","1469.22589262935"
"European Union","2017","237732.530302685"
"European Union","2016","232931.499020217"
"European Union","2015","233728.355346502"
"European Union","2014","234154.657430545"
"European Union","2013","230773.697951144"
"European Union","2012","230400.477346294"
"European Union","2011","233213.088087603"
"European Union","2010","237134.693871143"
"European Union","2009","247024.083057993"
"European Union","2008","262461.723601034"
"European Union","2007","272573.336314122"
"European Union","2006","272024.332730542"
"European Union","2005","282588.159620513"
"European Union","2004","289727.449379671"
"European Union","2003","284788.263164342"
"European Union","2002","288030.523969842"
"European Union","2001","298957.13277261"
"European Union","2000","302512.897883958"
"European Union","1999","303722.9808551"
"European Union","1998","323920.889856541"
"European Union","1997","346138.770038732"
"European Union","1996","349451.549543602"
"European Union","1995","343870.755949713"
"European Union","1994","340915.499884489"
"European Union","1993","338470.909043303"
"European Union","1992","348193.941687907"
"European Union","1991","362519.852749681"
"European Union","1990","380965.672299453"
"Finland","2017","4688.51939371245"
"Finland","2016","4658.50280025684"
"Finland","2015","4697.87328877508"
"Finland","2014","4701.63821580665"
"Finland","2013","4663.95672520512"
"Finland","2012","4602.70211540866"
"Finland","2011","4618.9390188954"
"Finland","2010","4753.68855748739"
"Finland","2009","5156.93786447054"
"Finland","2008","6013.61289220715"
"Finland","2007","5884.26321248956"
"Finland","2006","5811.23173472527"
"Finland","2005","6019.43333872718"
"Finland","2004","5951.06571002442"
"Finland","2003","5856.30599624632"
"Finland","2002","5752.44810203041"
"Finland","2001","5675.02811688754"
"Finland","2000","5739.0587582681"
"Finland","1999","5645.34795844597"
"Finland","1998","5688.23638767109"
"Finland","1997","5870.5326120207"
"Finland","1996","5955.95618617841"
"Finland","1995","6003.27107714616"
"Finland","1994","5862.12692861351"
"Finland","1993","5654.07491160713"
"Finland","1992","5491.27687155784"
"Finland","1991","5920.52315891323"
"Finland","1990","6362.08980770872"
"France","2017","42128.612410289"
"France","2016","40759.157343003"
"France","2015","41742.2447517938"
"France","2014","41887.2427985993"
"France","2013","40651.6199718164"
"France","2012","40885.3528599743"
"France","2011","40662.0536924673"
"France","2010","42134.9355726094"
"France","2009","44334.4395086301"
"France","2008","45902.219402772"
"France","2007","46676.6988673673"
"France","2006","46503.3196996568"
"France","2005","47786.7023339071"
"France","2004","48721.9267082455"
"France","2003","50316.6197851203"
"France","2002","52200.2187720306"
"France","2001","54940.2373560017"
"France","2000","55280.9487332754"
"France","1999","56348.7164911282"
"France","1998","62189.1060957117"
"France","1997","68856.1529325489"
"France","1996","68937.8568431048"
"France","1995","67422.5247201282"
"France","1994","65889.0690037301"
"France","1993","65809.5561647612"
"France","1992","66619.5898195056"
"France","1991","66963.6275338151"
"France","1990","66360.1979371454"
"Germany","2017","37666.2270002481"
"Germany","2016","37857.9993199503"
"Germany","2015","38697.9930795686"
"Germany","2014","38106.2041899459"
"Germany","2013","37446.8009581925"
"Germany","2012","36898.6215238225"
"Germany","2011","37707.4688020739"
"Germany","2010","36362.0100301342"
"Germany","2009","44302.0076162024"
"Germany","2008","45146.8953287697"
"Germany","2007","44706.1644515634"
"Germany","2006","42755.3721725903"
"Germany","2005","43016.3122785946"
"Germany","2004","45027.3777830405"
"Germany","2003","42879.0676100515"
"Germany","2002","43244.50148245"
"Germany","2001","44109.5793394047"
"Germany","2000","42744.7318676407"
"Germany","1999","42734.3687702224"
"Germany","1998","46313.2713604904"
"Germany","1997","59094.0673334824"
"Germany","1996","62068.5719951314"
"Germany","1995","60747.0400481472"
"Germany","1994","61380.6787934207"
"Germany","1993","60253.3311111825"
"Germany","1992","62984.4907162795"
"Germany","1991","61825.099421576"
"Germany","1990","64133.7294998282"
"Greece","2017","4350.9952016142"
"Greece","2016","4301.0429535644"
"Greece","2015","4243.69698766891"
"Greece","2014","4306.09846278123"
"Greece","2013","4514.51664887066"
"Greece","2012","4812.02553821025"
"Greece","2011","5243.04066163237"
"Greece","2010","5489.24659996141"
"Greece","2009","5284.5926882366"
"Greece","2008","5642.82765216103"
"Greece","2007","5879.46244337169"
"Greece","2006","5780.37208335156"
"Greece","2005","5941.37430640468"
"Greece","2004","6106.17028526357"
"Greece","2003","6100.86411234064"
"Greece","2002","6175.92389954063"
"Greece","2001","6221.5415025264"
"Greece","2000","6346.43947850536"
"Greece","1999","6576.76088020215"
"Greece","1998","6619.8600511589"
"Greece","1997","6693.73597204574"
"Greece","1996","6854.61293994713"
"Greece","1995","6683.05949933105"
"Greece","1994","6477.44147910665"
"Greece","1993","6595.96838648043"
"Greece","1992","7153.02484536252"
"Greece","1991","7307.60357424523"
"Greece","1990","7443.1420861"
"Hungary","2017","4686.88928954488"
"Hungary","2016","4546.09144959755"
"Hungary","2015","4365.649950437"
"Hungary","2014","4287.20937768855"
"Hungary","2013","4126.50721466112"
"Hungary","2012","3780.03037284808"
"Hungary","2011","3838.34350771298"
"Hungary","2010","3642.35218321695"
"Hungary","2009","3715.02819215658"
"Hungary","2008","4003.59903506584"
"Hungary","2007","4703.27969206216"
"Hungary","2006","5246.41331928133"
"Hungary","2005","5513.6410912617"
"Hungary","2004","5773.86637826599"
"Hungary","2003","4980.83991076618"
"Hungary","2002","5056.92011014422"
"Hungary","2001","5738.30338115648"
"Hungary","2000","5292.07248736652"
"Hungary","1999","4982.91153040071"
"Hungary","1998","5212.25128152887"
"Hungary","1997","5295.70376479809"
"Hungary","1996","5293.51615006972"
"Hungary","1995","4693.90039865892"
"Hungary","1994","5509.50005286927"
"Hungary","1993","4528.1426496309"
"Hungary","1992","4299.12470996461"
"Hungary","1991","5532.38711463226"
"Hungary","1990","8192.03793130107"
"Iceland","2017","283.796665114184"
"Iceland","2016","271.273398355275"
"Iceland","2015","272.979600144591"
"Iceland","2014","292.258005277961"
"Iceland","2013","265.272346371838"
"Iceland","2012","269.730690558631"
"Iceland","2011","264.228991389476"
"Iceland","2010","269.374949431491"
"Iceland","2009","282.670031175358"
"Iceland","2008","308.824460667825"
"Iceland","2007","303.105224352688"
"Iceland","2006","290.327656012128"
"Iceland","2005","273.502796146242"
"Iceland","2004","268.856761212064"
"Iceland","2003","268.385162419334"
"Iceland","2002","274.548620756183"
"Iceland","2001","301.326447279574"
"Iceland","2000","307.48359209643"
"Iceland","1999","328.126485112044"
"Iceland","1998","313.773438430416"
"Iceland","1997","315.077305178487"
"Iceland","1996","318.278289328259"
"Iceland","1995","303.877712711927"
"Iceland","1994","306.401815875025"
"Iceland","1993","303.036102662803"
"Iceland","1992","295.823799526552"
"Iceland","1991","312.601843869084"
"Iceland","1990","321.853734336513"
"Ireland","2017","6750.91134674788"
"Ireland","2016","6469.40100560899"
"Ireland","2015","6359.4211635343"
"Ireland","2014","6360.90251126421"
"Ireland","2013","6541.40473598155"
"Ireland","2012","6100.56968795292"
"Ireland","2011","5940.9971449895"
"Ireland","2010","6350.14651902319"
"Ireland","2009","6090.88294143729"
"Ireland","2008","6265.47846111148"
"Ireland","2007","6323.37251170008"
"Ireland","2006","6499.71803300865"
"Ireland","2005","6763.01704673355"
"Ireland","2004","6921.12448066181"
"Ireland","2003","7018.80218383076"
"Ireland","2002","7131.45162003588"
"Ireland","2001","7475.69967867894"
"Ireland","2000","7964.35520628514"
"Ireland","1999","8270.66138159239"
"Ireland","1998","8511.9673504659"
"Ireland","1997","8086.53861344999"
"Ireland","1996","8199.90411332336"
"Ireland","1995","8083.67907565835"
"Ireland","1994","7789.88203879266"
"Ireland","1993","7529.80988264988"
"Ireland","1992","7407.02640973011"
"Ireland","1991","7483.99150545709"
"Ireland","1990","7729.71706739487"
"Italy","2017","17796.1079732216"
"Italy","2016","17943.6402736759"
"Italy","2015","17547.0508091962"
"Italy","2014","17545.2078560475"
"Italy","2013","18011.3321998308"
"Italy","2012","18843.2503214744"
"Italy","2011","18289.8777842906"
"Italy","2010","18825.6158133014"
"Italy","2009","19564.6428904346"
"Italy","2008","20658.3558332641"
"Italy","2007","22161.4353747276"
"Italy","2006","22869.4056210738"
"Italy","2005","27787.5428380245"
"Italy","2004","28691.1249420728"
"Italy","2003","27900.0654543794"
"Italy","2002","28077.1285132033"
"Italy","2001","28745.3424630808"
"Italy","2000","28444.5914845633"
"Italy","1999","29260.3246597201"
"Italy","1998","28719.3495731061"
