"Country or Area","Year","Value"
"European Union","2016","454079.280449302"
"European Union","2015","458901.632085015"
"European Union","2014","458907.035762204"
"European Union","2013","465905.564739395"
"European Union","2012","475595.394907154"
"European Union","2011","480153.641910817"
"European Union","2010","490359.238172281"
"European Union","2009","500856.726714627"
"European Union","2008","513001.163606489"
"European Union","2007","524129.253887896"
"European Union","2006","532926.611609816"
"European Union","2005","545545.483420603"
"European Union","2004","557264.344661324"
"European Union","2003","574743.247062751"
"European Union","2002","583111.535465072"
"European Union","2001","594940.426798041"
"European Union","2000","605491.441083733"
"European Union","1999","627736.620920049"
"European Union","1998","639768.808097765"
"European Union","1997","655295.261852646"
"European Union","1996","661614.560406434"
"European Union","1995","665577.278025564"
"European Union","1994","666420.521017554"
"European Union","1993","682585.840224887"
"European Union","1992","691425.438849567"
"European Union","1991","706217.360773186"
"European Union","1990","727448.600082231"
"Finland","2017","4606.05920792433"
"Finland","2016","4732.99217744385"
"Finland","2015","4870.4262977468"
"Finland","2014","4916.78985457925"
"Finland","2013","5013.17387071441"
"Finland","2012","5147.6087989369"
"Finland","2011","5198.093152131"
"Finland","2010","5369.07427265482"
"Finland","2009","5299.0605794138"
"Finland","2008","5352.45808725729"
"Finland","2007","5497.55998593556"
"Finland","2006","5634.44457388267"
"Finland","2005","5568.89009274179"
"Finland","2004","5821.84296464797"
"Finland","2003","6011.87278169602"
"Finland","2002","6226.71129847448"
"Finland","2001","6464.20232079127"
"Finland","2000","6608.4041080093"
"Finland","1999","6865.27903029221"
"Finland","1998","7021.7254214443"
"Finland","1997","7276.57488332575"
"Finland","1996","7367.04958400885"
"Finland","1995","7451.10524697726"
"Finland","1994","7661.64190370601"
"Finland","1993","7700.67584022425"
"Finland","1992","7665.24414394425"
"Finland","1991","7713.66817385307"
"Finland","1990","7746.33119935033"
"France","2017","56658.7398845859"
"France","2016","57090.2504371586"
"France","2015","57477.3367392701"
"France","2014","58253.4179545507"
"France","2013","58448.6289691746"
"France","2012","58986.5373251379"
"France","2011","60342.8820103317"
"France","2010","61656.1117343817"
"France","2009","61913.6618217089"
"France","2008","63034.7589312539"
"France","2007","62993.8466036169"
"France","2006","63408.228384138"
"France","2005","64178.2695914431"
"France","2004","65285.2351572526"
"France","2003","66688.0216236447"
"France","2002","67890.751121265"
"France","2001","69612.0512550755"
"France","2000","69764.9134587775"
"France","1999","69428.8936884604"
"France","1998","69413.4770180246"
"France","1997","69313.431917446"
"France","1996","70427.8468623964"
"France","1995","71226.1755142156"
"France","1994","70624.3236720999"
"France","1993","70545.411494419"
"France","1992","70167.0917611511"
"France","1991","70334.253176388"
"France","1990","69641.7375653095"
"Germany","2017","55246.5987764687"
"Germany","2016","55924.0586595729"
"Germany","2015","57079.4431939017"
"Germany","2014","57214.6625943571"
"Germany","2013","58376.126963173"
"Germany","2012","58825.8812692658"
"Germany","2011","58230.2140594275"
"Germany","2010","59352.6519917504"
"Germany","2009","60099.0027623641"
"Germany","2008","62403.9554440815"
"Germany","2007","63460.0453656131"
"Germany","2006","65665.0167994694"
